#{"t_start": 1742567478.495862, "env_id": "None"}
r,l,t
91.509608,1311,1087.523924
652.161162,7129,1088.631823
615.956952,6659,1089.673272
1919.165074,29345,1094.35161
711.959057,9916,1095.92661
2326.301634,26261,1100.053634
231.712868,4836,1100.848328
1073.246068,14926,1103.198575
383.436652,4554,1103.906195
1611.82143,22454,1107.4524
680.858586,11054,1109.225226
1795.951918,21524,1112.608043
901.615046,9573,1114.130373
436.71304,6382,1115.134458
1072.617276,12965,1117.168866
283.352182,4428,1117.858968
194.918848,3151,1118.381551
951.260748,10673,1120.066218
239.74894,3679,1120.658073
309.294796,3230,1121.188832
718.127538,9023,1122.600559
537.820638,5745,1123.516539
685.85429,9767,1125.074552
10366.413369,110242,1142.457756
71.258701,1265,1142.677257
83.486064,1390,1142.911837
2472.778653,29501,1147.571975
1459.990367,20976,1150.876489
1926.741508,17520,1153.686867
264.497385,3190,1154.171419
266.298087,3111,1154.688534
315.103491,3513,1155.25718
2040.415068,11083,1156.99625
661.096999,7117,1158.145072
1125.226029,17562,1160.910186
965.950053,10994,1162.671636
121.78815,1395,1162.866224
1170.267691,13124,1164.968302
83.133849,1452,1165.169952
4778.676045,42180,1171.851779
1984.447897,24273,1175.692735
4175.236273,52150,1183.945647
2829.149001,35167,1189.509345
92.602622,1301,1189.732986
239.570328,5177,1190.577959
151.1856,2206,1190.92477
212.88836,4004,1191.55985
26.019257,703,1191.658176
817.431431,8574,1193.005461
346.897782,3229,1193.530969
450.440905,4466,1194.23142
1032.028476,8715,1195.59928
301.974366,2755,1196.059575
66.827667,1144,1196.220916
399.487559,3331,1196.762185
953.775073,8980,1198.172826
975.68205,9036,1199.57908
2882.281092,29374,1204.262264
499.871326,4833,1205.011043
359.985316,3132,1205.525404
5382.813603,54979,1214.231324
907.566494,9418,1215.695492
1441.399412,15956,1218.229152
37.14014,742,1218.329783
1188.955846,10640,1220.041455
2864.363064,32388,1225.12978
226.680271,3498,1225.696699
986.923709,9400,1227.198351
113.917995,1228,1227.368967
221.337072,2419,1227.740807
3971.06151,39659,1234.050005
91.994597,1053,1234.196485
18.496703,236,1234.22765
808.615451,8808,1235.645677
443.261916,6313,1236.649096
431.262882,3953,1237.283636
1157.954763,16900,1239.953318
1163.797186,10216,1241.575251
2168.364218,18926,1244.558328
721.124274,5235,1245.40244
2861.919027,31037,1250.303691
205.023816,1554,1250.55797
3128.228055,32956,1255.755743
984.457956,11356,1257.531037
191.370774,1492,1257.778471
448.5532,6433,1258.787874
599.605925,6833,1259.893908
35.648117,387,1259.948343
572.222053,4860,1260.705727
1630.931666,16133,1263.259276
1240.063919,10316,1264.891455
1123.56455,9885,1266.458229
1041.128513,8642,1267.81805
871.884723,7656,1269.038816
332.014426,3563,1269.617245
240.898654,2973,1270.071042
120.124932,1327,1270.296786
718.398825,7232,1271.423171
350.875172,2868,1271.899806
157.937475,1456,1272.102401
702.28682,7309,1273.27702
1638.859326,15167,1275.657499
913.457421,8934,1277.099082
3278.706655,31878,1282.110181
534.599346,7467,1283.30499
1849.782359,20015,1286.476429
135.984688,1384,1286.669021
952.957923,10532,1288.325427
630.496329,5423,1289.209433
785.393946,9021,1290.622524
275.597506,3202,1291.15796
1278.177127,12589,1293.148682
828.200547,8077,1294.425817
1224.227553,10995,1296.146465
262.76199,2280,1296.543697
703.789379,5197,1297.342992
478.559384,4134,1297.997579
162.672997,1509,1298.247334
883.566508,9336,1299.704778
86.477544,2579,1300.14432
2045.873331,22114,1303.611574
33.959725,337,1303.700564
471.757641,4620,1304.419941
362.012678,4018,1305.05405
1711.645639,22241,1308.573356
-68.160741,3027,1309.03756
483.848785,5995,1309.989541
818.635417,7305,1311.165709
182.799603,1799,1311.45612
385.418968,3777,1312.016034
227.412531,2328,1312.420346
346.033821,3530,1312.95072
916.938498,8473,1314.285437
2423.599356,19871,1317.443009
791.881137,9145,1318.911102
146.743382,1516,1319.121092
123.836133,874,1319.283255
762.213988,7227,1320.401719
123.31485,1254,1320.616327
109.614614,1472,1320.860469
407.961864,3999,1321.494269
924.308862,7861,1322.703412
1146.278516,15267,1325.140574
786.580007,6275,1326.127312
1172.11476,11381,1327.902112
545.639756,5007,1328.719321
2256.436106,20870,1332.020263
7033.000331,62287,1341.8894
5010.742917,47082,1349.326791
1410.753215,12801,1351.336506
1047.467339,8770,1352.702381
248.591338,3878,1353.318471
4004.137307,36600,1359.104982
449.532477,4113,1359.757774
88.761139,871,1359.8769
2113.369449,17043,1362.599304
1426.308111,10489,1364.252837
293.689468,2656,1364.663909
275.989929,2140,1365.00208
403.591899,3758,1365.603809
305.000497,2619,1366.004455
789.469761,6245,1366.98913
260.025433,2636,1367.390296
104.571911,1289,1367.61407
149.15638,1143,1367.812143
81.636588,1818,1368.105433
1806.859717,15487,1370.532699
-45.504511,2396,1370.903548
1027.659782,9111,1372.369524
117.940449,1205,1372.534397
495.723271,4776,1373.315608
1073.529219,9824,1374.836599
286.007051,2959,1375.33072
616.111459,5812,1376.252701
1914.472665,18831,1379.227328
103.881244,2053,1379.552081
861.50843,8622,1380.909701
83.367081,700,1381.002227
120.874245,820,1381.161767
1968.341229,17940,1384.007425
1425.380671,12966,1386.042749
954.946436,8400,1387.365529
493.002061,4567,1388.078433
169.700229,1255,1388.29299
1610.833306,15875,1390.821472
4892.130262,42392,1397.500285
99.969561,850,1397.659744
183.18088,2186,1398.005364
518.908011,4907,1398.766868
480.738173,3465,1399.328453
64.412365,688,1399.4231
673.279695,5467,1400.300196
1071.79095,9006,1401.705102
1753.496775,15308,1404.147498
218.950398,2004,1404.465785
312.003745,3479,1405.025727
558.54649,4948,1405.791485
1293.035773,11909,1407.677877
2011.618324,16844,1410.330604
1535.603225,12897,1412.35447
4705.572774,36797,1418.173554
1202.286266,10933,1419.935179
48.290487,426,1419.994917
170.173299,1273,1420.169325
3433.074303,23448,1423.898289
941.087782,8385,1425.219876
2355.851665,18657,1428.16237
161.981339,1590,1428.41981
582.89324,4939,1429.185211
595.165787,5450,1430.06074
838.558467,7072,1431.160531
1633.564033,11610,1433.006951
1004.851668,7471,1434.200033
125.699826,903,1434.326262
1181.111935,8533,1435.665171
1131.308272,7463,1436.8591
3270.22511,29175,1441.45573
25.41812,461,1441.517931
1490.513604,11753,1443.389168
1647.459891,10365,1445.020916
140.768159,1054,1445.206767
171.165594,1427,1445.400676
746.527167,5431,1446.272746
964.344863,7376,1447.453938
321.193696,2257,1447.80456
545.967892,3802,1448.411674
566.062943,4259,1449.076625
1908.747534,14971,1451.434923
1271.010524,10379,1453.071525
104.212756,1018,1453.250765
331.313906,2946,1453.700282
176.740631,1459,1453.940682
63.879789,616,1454.027547
1353.280145,12676,1456.022345
525.033934,4269,1456.690725
15.697489,334,1456.734011
1212.558966,14063,1458.969193
246.837625,2097,1459.301967
71.532659,851,1459.461659
782.429734,7313,1460.596173
623.173524,5168,1461.430854
135.08622,1155,1461.588145
351.613099,3289,1462.127215
829.065032,7215,1463.283469
767.813695,6017,1464.195945
109.606144,704,1464.335581
313.8152,2372,1464.705603
1474.880989,16247,1467.27264
1054.136176,9829,1468.83574
920.8784,8407,1470.159143
142.819157,993,1470.294941
151.456764,1423,1470.530427
378.871786,3409,1471.0806
1376.870389,11353,1472.853689
138.884224,1087,1473.043806
429.583444,3531,1473.570705
1583.788683,12806,1475.624173
221.097872,1600,1475.885611
38.428824,1466,1476.088552
382.924673,2382,1476.455449
2602.15935,17164,1479.186859
124.679801,1261,1479.359023
172.429601,1649,1479.633644
790.385457,7146,1480.786287
1997.815425,14381,1483.059634
318.14993,2500,1483.447058
756.081658,8025,1484.714272
217.346183,1430,1484.952205
985.785356,7904,1486.165107
99.552411,2842,1486.640095
5810.516035,41599,1493.201032
186.61067,1516,1493.450341
321.555109,2689,1493.862217
135.176059,1062,1494.048979
1338.839245,9218,1495.487916
779.295797,6045,1496.443264
1025.264014,8736,1497.810292
1402.668539,10607,1499.525211
560.221552,4521,1500.232139
192.919937,1488,1500.434506
1905.413423,15832,1502.9473
1525.733269,10771,1504.638799
1631.778819,11456,1506.471428
120.087071,1061,1506.657522
121.738592,1041,1506.803807
1948.550253,15306,1509.252293
560.486306,5048,1510.038482
602.042593,5243,1510.887294
750.712075,5015,1511.661077
242.320857,1824,1511.953575
530.386392,4445,1512.652437
742.301538,5112,1513.480538
968.2683,6183,1514.455739
161.306925,1506,1514.663735
113.579391,928,1514.833431
907.385228,5971,1515.780046
147.559738,975,1515.916505
414.143657,2826,1516.38884
165.985073,1494,1516.597581
1043.28781,8342,1517.918976
945.522754,8022,1519.191271
229.080008,1884,1519.494585
141.518811,969,1519.668655
1428.467575,11796,1521.501608
664.496311,5947,1522.44374
502.364202,4452,1523.187707
627.953313,4741,1523.925613
498.710081,3934,1524.550023
34.97015,438,1524.610383
2399.023347,18669,1527.562787
80.844214,845,1527.718729
262.722013,1866,1527.977384
2247.161796,17334,1530.744512
99.337949,999,1530.881532
81.889259,1063,1531.071483
153.175057,1231,1531.280035
1258.310876,8015,1532.507383
182.47914,1728,1532.78641
2187.677699,15489,1535.251649
113.709542,1288,1535.427032
1117.058312,7485,1536.628135
2004.603165,13544,1538.788065
233.181583,2148,1539.124094
1510.258671,10413,1540.780794
5020.547528,34781,1546.274395
4001.312163,29104,1550.861035
759.80555,5758,1551.779727
2722.936526,19372,1554.829065
625.083955,4678,1555.59793
919.688521,7632,1556.77587
1326.163674,9585,1558.309387
1558.445607,11609,1560.158172
131.679492,1276,1560.33398
128.566639,949,1560.509251
1083.019968,7425,1561.654458
1856.505716,15164,1564.08025
179.725922,1191,1564.243388
168.68797,1460,1564.488144
766.80174,6308,1565.480531
630.561304,3919,1566.105599
691.677507,4363,1566.791593
1159.050325,8554,1568.136021
223.052328,1785,1568.422808
1475.110303,9347,1569.924188
292.757203,2239,1570.276745
816.030141,6221,1571.256541
257.166857,1967,1571.570147
264.75859,2433,1571.948055
150.646818,1051,1572.133075
378.474233,3198,1572.612579
987.397715,7088,1573.756685
2990.729504,23198,1577.412757
1057.468961,8241,1578.714589
2676.568797,35642,1856.037448
5886.010811,42629,1867.017197
1811.938073,14496,1881.967641
