time/time_elapsed,time/iterations,time/total_timesteps,time/fps,train/n_updates,train/approx_kl,train/clip_fraction,train/loss,train/learning_rate,train/value_loss,train/entropy_loss,train/policy_gradient_loss,train/clip_range,train/explained_variance,rollout/ep_rew_mean,rollout/ep_len_mean
1244,3804,7790592,6261,19015,6.54053e-05,0.0,2.3043341636657715,2e-05,13.795856475830078,-1.7393515050411223,-0.0001788992783986032,0.2,0.4394146203994751,-74.21066590000001,1703.6
1244,3805,7792640,6261,19020,0.0021439814,0.0080078125,0.276321142911911,2e-05,3.278680294752121,-1.7512548208236693,-0.0013195658568292857,0.2,0.9298732280731201,-73.8397396,1701.66
1244,3806,7794688,6261,19025,0.00092680525,0.0,-0.0738229751586914,2e-05,1.5780043870210647,-1.7480868458747865,-0.0013954231631942093,0.2,0.9550148844718933,-75.46903419,1714.67
1245,3807,7796736,6261,19030,0.00061157916,0.0,1.1306514739990234,2e-05,6.831571424007416,-1.7516430884599685,-0.0004262177273631096,0.2,0.8657985925674438,-76.38415707000001,1714.37
1245,3808,7798784,6261,19035,1.5142519e-05,0.0,1.2484462261199951,2e-05,10.14264132976532,-1.7532844185829162,9.763112757354976e-07,0.2,0.7632967233657837,-76.81961572,1727.02
1245,3809,7800832,6261,19040,0.00015326205,0.0,0.43874746561050415,2e-05,5.066970646381378,-1.7456475228071213,-0.0005228433175943792,0.2,0.8699041604995728,-77.71717623,1727.47
1246,3810,7802880,6261,19045,3.4203113e-05,0.0,1.1277538537979126,2e-05,8.19612638950348,-1.7667051345109939,-0.00027236983878538014,0.2,0.620535135269165,-77.71717623,1727.47
1246,3811,7804928,6261,19050,0.0011634334,0.0,1.5519189834594727,2e-05,9.655303919315338,-1.7490950018167495,-0.0014321381226181985,0.2,0.762447714805603,-78.51114690000001,1715.76
1246,3812,7806976,6261,19055,0.00032029505,0.0,0.6454732418060303,2e-05,5.468059372901917,-1.7437015414237975,-0.000996568042319268,0.2,0.8131215572357178,-78.51114690000001,1715.76
1247,3813,7809024,6261,19060,0.003256387,0.0087890625,0.9656596779823303,2e-05,7.494129502773285,-1.7457280337810517,-0.004394567664712667,0.2,0.7426698207855225,-77.66439061999999,1737.99
1247,3814,7811072,6261,19065,8.543141e-05,0.0,0.6100722551345825,2e-05,4.846127194166184,-1.7464084178209305,-0.00011304976069368423,0.2,0.867327868938446,-78.26343975,1721.41
1247,3815,7813120,6261,19070,3.790029e-05,0.0,0.9338929057121277,2e-05,9.397550404071808,-1.7539546757936477,-0.0002993208938278258,0.2,0.5580242872238159,-79.62119073,1736.96
1248,3816,7815168,6261,19075,0.00030688848,0.0,0.5186526775360107,2e-05,5.507111626863479,-1.7537141650915147,-0.0009146050899289549,0.2,0.7687656283378601,-79.47176559000002,1727.76
